,Tool,Asymptotic pseudo-auROC value
2346,DimontHTS,0.635
2347,ExplaiNN,0.753
2348,Dimont,0.528
2349,ChIPMunk,0.68
2350,ProBound,0.399
2351,MEME,0.521
2352,Autoseed,0.729
2353,Homer,0.456
2354,STREME,0.74
2355,DimontHTS,0.622
2356,ExplaiNN,0.474
2357,Dimont,0.674
2358,ChIPMunk,0.923
2359,ProBound,0.412
2360,MEME,0.681
2361,Autoseed,0.757
2362,Homer,0.651
2363,STREME,0.709
2364,DimontHTS,0.51
2365,ExplaiNN,0.64
2366,Dimont,0.946
2367,ChIPMunk,0.853
2368,ProBound,0.692
2369,MEME,0.911
2370,Autoseed,0.777
2371,Homer,0.907
2372,STREME,0.765
2373,DimontHTS,0.607
2374,ExplaiNN,0.913
2375,Dimont,0.889
2376,ChIPMunk,0.727
2377,ProBound,0.691
2378,MEME,0.846
2379,Autoseed,0.634
2380,Homer,0.85
2381,STREME,0.683
2382,DimontHTS,0.615
2383,ExplaiNN,0.858
2384,Dimont,0.71
2385,ChIPMunk,0.862
2386,ProBound,0.807
2387,MEME,0.723
2388,Autoseed,0.661
2389,Homer,0.712
2390,STREME,0.712
2391,DimontHTS,0.676
2392,ExplaiNN,0.658
2393,Dimont,0.851
2394,ChIPMunk,0.774
2395,ProBound,0.7
2396,MEME,0.859
2397,Autoseed,0.566
2398,Homer,0.839
2399,STREME,0.736
2400,DimontHTS,0.705
2401,ExplaiNN,0.796
2402,Dimont,0.764
2403,ChIPMunk,0.739
2404,ProBound,0.599
2405,MEME,0.771
2406,Autoseed,0.531
2407,Homer,0.762
2408,STREME,0.708
2409,DimontHTS,0.728
2410,ExplaiNN,0.725
2411,Dimont,0.726
2412,ChIPMunk,0.791
2413,ProBound,0.674
2414,MEME,0.735
2415,Autoseed,0.725
2416,Homer,0.724
2417,STREME,0.681
2418,DimontHTS,0.69
2419,ExplaiNN,0.688
2420,Dimont,0.786
2421,ChIPMunk,0.708
2422,ProBound,0.686
2423,MEME,0.788
2424,Autoseed,0.791
2425,Homer,0.785
2426,STREME,0.734
2427,DimontHTS,0.639
2428,ExplaiNN,0.757
2429,Dimont,0.683
2430,ChIPMunk,0.746
2431,ProBound,0.711
2432,MEME,0.706
2433,Autoseed,0.491
2434,Homer,0.682
2435,STREME,0.741
2436,DimontHTS,0.656
2437,ExplaiNN,0.665
2438,Dimont,0.739
2439,ChIPMunk,0.769
2440,ProBound,0.739
2441,MEME,0.741
2442,Autoseed,0.621
2443,Homer,0.737
2444,STREME,0.764
2445,DimontHTS,0.569
2446,ExplaiNN,0.703
2447,Dimont,0.753
2448,ChIPMunk,0.737
2449,ProBound,0.63
2450,MEME,0.767
2451,Autoseed,0.648
2452,Homer,0.743
2453,STREME,0.595
2454,DimontHTS,0.676
2455,ExplaiNN,0.696
2456,Dimont,0.719
2457,ChIPMunk,0.71
2458,ProBound,0.669
2459,MEME,0.732
2460,Autoseed,0.72
2461,Homer,0.723
2462,STREME,0.502
2463,DimontHTS,0.764
2464,ExplaiNN,0.682
2465,Dimont,0.69
2466,ChIPMunk,0.76
2467,ProBound,0.499
2468,MEME,0.707
2469,Autoseed,0.678
2470,Homer,0.688
2471,STREME,0.962
2472,DimontHTS,0.371
2473,ExplaiNN,0.669
2474,Dimont,0.753
2475,ChIPMunk,0.772
2476,ProBound,0.489
2477,MEME,0.755
2478,Autoseed,0.652
2479,Homer,0.759
2480,STREME,0.579
2481,DimontHTS,0.365
2482,ExplaiNN,0.737
2483,Dimont,0.755
2484,ChIPMunk,0.791
2485,ProBound,0.49
2486,MEME,0.773
2487,Autoseed,0.659
2488,Homer,0.752
2489,STREME,0.624
2490,DimontHTS,0.873
2491,ExplaiNN,0.705
2492,Dimont,0.776
2493,ChIPMunk,0.525
2494,ProBound,0.58
2495,MEME,0.789
2496,Autoseed,0.67
2497,Homer,0.775
2498,STREME,0.457
2499,DimontHTS,0.766
2500,ExplaiNN,0.732
2501,Dimont,0.542
2502,ChIPMunk,0.53
2503,ProBound,0.607
2504,MEME,0.575
2505,Autoseed,0.775
2506,Homer,0.63
2507,STREME,0.435
2508,DimontHTS,0.892
2509,ExplaiNN,0.627
2510,Dimont,0.541
2511,ChIPMunk,0.981
2512,ProBound,0.592
2513,MEME,0.593
2514,Autoseed,0.781
2515,Homer,0.523
2516,STREME,0.677
2517,DimontHTS,0.685
2518,ExplaiNN,0.562
2519,Dimont,0.969
2520,ChIPMunk,0.683
2521,ProBound,0.621
2522,MEME,0.971
2523,Autoseed,0.586
2524,Homer,0.964
2525,STREME,0.642
2526,DimontHTS,0.374
2527,ExplaiNN,0.975
2528,Dimont,0.6
2529,ChIPMunk,0.723
2530,ProBound,0.709
2531,MEME,0.6
2532,Autoseed,0.622
2533,Homer,0.378
2534,STREME,0.879
2535,DimontHTS,0.716
2536,ExplaiNN,0.645
2537,Dimont,0.645
2538,ChIPMunk,0.626
2539,ProBound,0.667
2540,MEME,0.62
2541,Autoseed,0.399
2542,Homer,0.487
2543,STREME,0.692
2544,DimontHTS,0.644
2545,ExplaiNN,0.659
2546,Dimont,0.624
2547,ChIPMunk,0.656
2548,ProBound,0.63
2549,MEME,0.612
2550,Autoseed,0.381
2551,Homer,0.539
2552,STREME,0.55
2553,DimontHTS,0.815
2554,ExplaiNN,0.528
2555,Dimont,0.429
2556,ChIPMunk,0.669
2557,ProBound,0.636
2558,MEME,0.385
2559,Autoseed,0.801
2560,Homer,0.487
2561,STREME,0.625
2562,DimontHTS,0.754
2563,ExplaiNN,0.53
2564,Dimont,0.441
2565,ChIPMunk,0.702
2566,ProBound,0.586
2567,MEME,0.38
2568,Autoseed,0.78
2569,Homer,0.49
2570,STREME,0.601
2571,DimontHTS,0.451
2572,ExplaiNN,0.546
2573,Dimont,0.705
2574,ChIPMunk,0.713
2575,ProBound,0.635
2576,MEME,0.644
2577,Autoseed,0.496
2578,Homer,0.64
2579,STREME,0.712
2580,DimontHTS,0.887
2581,ExplaiNN,0.663
2582,Dimont,0.721
2583,ChIPMunk,0.701
2584,ProBound,0.402
2585,MEME,0.642
2586,Autoseed,0.905
2587,Homer,0.642
2588,STREME,0.731
2589,DimontHTS,0.624
2590,ExplaiNN,0.673
2591,Dimont,0.745
2592,ChIPMunk,0.659
2593,ProBound,0.584
2594,MEME,0.657
2595,Autoseed,0.566
2596,Homer,0.658
2597,STREME,0.888
2598,DimontHTS,0.516
2599,ExplaiNN,0.707
2600,Dimont,0.69
2601,ChIPMunk,0.899
2602,ProBound,0.623
2603,MEME,0.622
2604,Autoseed,0.463
2605,Homer,0.62
2606,STREME,0.918
2607,DimontHTS,0.661
2608,ExplaiNN,0.662
2609,Dimont,0.921
2610,ChIPMunk,0.743
2611,ProBound,0.412
2612,MEME,0.882
2613,Autoseed,0.854
2614,Homer,0.869
2615,STREME,0.743
2616,DimontHTS,0.852
2617,ExplaiNN,0.842
2618,Dimont,0.772
2619,ChIPMunk,0.583
2620,ProBound,0.396
2621,MEME,0.693
2622,Autoseed,0.737
2623,Homer,0.689
2624,STREME,0.766
2625,DimontHTS,0.833
2626,ExplaiNN,0.677
2627,Dimont,0.558
2628,ChIPMunk,0.7
2629,ProBound,0.75
2630,MEME,0.549
2631,Autoseed,0.79
2632,Homer,0.586
2633,STREME,0.714
2634,DimontHTS,0.577
2635,ExplaiNN,0.544
2636,Dimont,0.686
2637,ChIPMunk,0.609
2638,ProBound,0.699
2639,MEME,0.661
2640,Autoseed,0.717
2641,Homer,0.716
2642,STREME,0.689
2643,DimontHTS,0.801
2644,ExplaiNN,0.662
2645,Dimont,0.571
2646,ChIPMunk,0.712
2647,ProBound,0.656
2648,MEME,0.562
2649,Autoseed,0.443
2650,Homer,0.524
2651,STREME,0.637
2652,DimontHTS,0.81
2653,ExplaiNN,0.594
2654,Dimont,0.725
2655,ChIPMunk,0.733
2656,ProBound,0.878
2657,MEME,0.715
2658,Autoseed,0.945
2659,Homer,0.707
2660,STREME,0.611
2661,DimontHTS,0.756
2662,ExplaiNN,0.684
2663,Dimont,0.75
2664,ChIPMunk,0.918
2665,ProBound,0.653
2666,MEME,0.731
2667,Autoseed,0.634
2668,Homer,0.727
2669,STREME,0.805
2670,DimontHTS,0.596
2671,ExplaiNN,0.687
2672,Dimont,0.92
2673,ChIPMunk,0.94
2674,ProBound,0.473
2675,MEME,0.905
2676,Autoseed,0.555
2677,Homer,0.901
2678,STREME,0.812
2679,DimontHTS,0.595
2680,ExplaiNN,0.918
2681,Dimont,0.953
2682,ChIPMunk,0.752
2683,ProBound,0.875
2684,MEME,0.922
2685,Autoseed,0.823
2686,Homer,0.923
2687,STREME,0.604
2688,DimontHTS,0.633
2689,ExplaiNN,0.943
2690,Dimont,0.742
2691,ChIPMunk,0.776
2692,ProBound,0.743
2693,MEME,0.748
2694,Autoseed,0.856
2695,Homer,0.746
2696,STREME,0.649
2697,DimontHTS,0.347
2698,ExplaiNN,0.718
2699,Dimont,0.765
2700,ChIPMunk,0.767
2701,ProBound,0.81
2702,MEME,0.765
2703,Autoseed,0.837
2704,Homer,0.77
2705,STREME,0.68
2706,DimontHTS,0.813
2707,ExplaiNN,0.736
2708,Dimont,0.664
2709,ChIPMunk,0.727
2710,ProBound,0.747
2711,MEME,0.618
2712,Autoseed,0.606
2713,Homer,0.56
2714,STREME,0.716
2715,DimontHTS,0.838
2716,ExplaiNN,0.729
2717,Dimont,0.665
2718,ChIPMunk,0.655
2719,ProBound,0.435
2720,MEME,0.629
2721,Autoseed,0.954
2722,Homer,0.535
2723,STREME,0.679
2724,DimontHTS,0.707
2725,ExplaiNN,0.689
2726,Dimont,0.683
2727,ChIPMunk,0.63
2728,ProBound,0.909
2729,MEME,0.639
2730,Autoseed,0.97
2731,Homer,0.649
2732,STREME,0.841
2733,DimontHTS,0.606
2734,ExplaiNN,0.606
2735,Dimont,0.651
2736,ChIPMunk,0.731
2737,ProBound,0.569
2738,MEME,0.617
2739,Autoseed,0.823
2740,Homer,0.62
2741,STREME,0.834
2742,DimontHTS,0.856
2743,ExplaiNN,0.582
2744,Dimont,0.816
2745,ChIPMunk,0.784
2746,ProBound,0.528
2747,MEME,0.816
2748,Autoseed,0.609
2749,Homer,0.787
2750,STREME,0.565
2751,DimontHTS,0.802
2752,ExplaiNN,0.728
2753,Dimont,0.771
2754,ChIPMunk,0.619
2755,ProBound,0.8
2756,MEME,0.802
2757,Autoseed,0.728
2758,Homer,0.794
2759,STREME,0.562
2760,DimontHTS,0.591
2761,ExplaiNN,0.776
2762,Dimont,0.632
2763,ChIPMunk,0.661
2764,ProBound,0.859
2765,MEME,0.61
2766,Autoseed,0.928
2767,Homer,0.601
2768,STREME,0.677
2769,DimontHTS,0.675
2770,ExplaiNN,0.61
2771,Dimont,0.65
2772,ChIPMunk,0.692
2773,ProBound,0.836
2774,MEME,0.64
2775,Autoseed,0.424
2776,Homer,0.612
2777,STREME,0.77
2778,DimontHTS,0.757
2779,ExplaiNN,0.669
2780,Dimont,0.688
2781,ChIPMunk,0.732
2782,ProBound,0.58
2783,MEME,0.673
2784,Autoseed,0.916
2785,Homer,0.636
2786,STREME,0.887
2787,DimontHTS,0.853
2788,ExplaiNN,0.688
2789,Dimont,0.715
2790,ChIPMunk,0.687
2791,ProBound,0.95
2792,MEME,0.743
2793,Autoseed,0.912
2794,Homer,0.691
2795,STREME,0.79
2796,DimontHTS,0.719
2797,ExplaiNN,0.618
2798,Dimont,0.678
2799,ChIPMunk,0.877
2800,ProBound,0.967
2801,MEME,0.701
2802,Autoseed,0.858
2803,Homer,0.655
2804,STREME,0.833
2805,DimontHTS,0.777
2806,ExplaiNN,0.59
2807,Dimont,0.885
2808,ChIPMunk,0.874
2809,ProBound,0.535
2810,MEME,0.843
2811,Autoseed,0.711
2812,Homer,0.885
2813,STREME,0.818
2814,DimontHTS,0.81
2815,ExplaiNN,0.861
2816,Dimont,0.88
2817,ChIPMunk,0.676
2818,ProBound,0.803
2819,MEME,0.838
2820,Autoseed,0.831
2821,Homer,0.873
2822,STREME,0.596
2823,DimontHTS,0.57
2824,ExplaiNN,0.849
2825,Dimont,0.686
2826,ChIPMunk,0.682
2827,ProBound,0.519
2828,MEME,0.638
2829,Autoseed,0.784
2830,Homer,0.629
2831,STREME,0.641
2832,DimontHTS,0.669
2833,ExplaiNN,0.645
2834,Dimont,0.699
2835,ChIPMunk,0.639
2836,ProBound,0.727
2837,MEME,0.653
2838,Autoseed,0.829
2839,Homer,0.629
2840,STREME,0.395
2841,DimontHTS,0.646
2842,ExplaiNN,0.648
2843,Dimont,0.674
2844,ChIPMunk,0.675
2845,ProBound,0.834
2846,MEME,0.659
2847,Autoseed,0.713
2848,Homer,0.684
2849,STREME,0.375
2850,DimontHTS,0.895
2851,ExplaiNN,0.54
2852,Dimont,0.774
2853,ChIPMunk,0.89
2854,ProBound,0.718
2855,MEME,0.725
2856,Autoseed,0.854
2857,Homer,0.774
2858,STREME,0.799
2859,DimontHTS,0.692
2860,ExplaiNN,0.663
2861,Dimont,0.88
2862,ChIPMunk,0.799
2863,ProBound,0.791
2864,MEME,0.893
2865,Autoseed,0.916
2866,Homer,0.868
2867,STREME,0.802
2868,DimontHTS,0.836
2869,ExplaiNN,0.749
2870,Dimont,0.806
2871,ChIPMunk,0.851
2872,ProBound,0.804
2873,MEME,0.805
2874,Autoseed,0.808
2875,Homer,0.766
2876,STREME,0.61
2877,DimontHTS,0.838
2878,ExplaiNN,0.71
2879,Dimont,0.89
2880,ChIPMunk,0.94
2881,ProBound,0.751
2882,MEME,0.836
2883,Autoseed,0.837
2884,Homer,0.761
2885,STREME,0.919
2886,DimontHTS,0.786
2887,ExplaiNN,0.804
2888,Dimont,0.945
2889,ChIPMunk,0.608
2890,ProBound,0.565
2891,MEME,0.797
2892,Autoseed,0.887
2893,Homer,0.792
2894,STREME,0.584
2895,DimontHTS,0.498
2896,ExplaiNN,0.812
2897,Dimont,0.579
2898,ChIPMunk,0.654
2899,ProBound,0.86
2900,MEME,0.585
2901,Autoseed,0.537
2902,Homer,0.606
2903,STREME,0.554
2904,DimontHTS,0.515
2905,ExplaiNN,0.599
2906,Dimont,0.62
2907,ChIPMunk,0.571
2908,ProBound,0.819
2909,MEME,0.626
2910,Autoseed,0.715
2911,Homer,0.64
2912,STREME,0.959
2913,DimontHTS,0.888
2914,ExplaiNN,0.642
2915,Dimont,0.422
2916,ChIPMunk,0.555
2917,ProBound,0.784
2918,MEME,0.424
2919,Autoseed,0.661
2920,Homer,0.659
2921,STREME,0.834
2922,DimontHTS,0.704
2923,ExplaiNN,0.421
2924,Dimont,0.408
2925,ChIPMunk,0.721
2926,ProBound,0.726
2927,MEME,0.399
2928,Autoseed,0.956
2929,Homer,0.675
2930,STREME,0.825
2931,DimontHTS,0.667
2932,ExplaiNN,0.402
2933,Dimont,0.814
2934,ChIPMunk,0.723
2935,ProBound,0.844
2936,MEME,0.908
2937,Autoseed,0.752
2938,Homer,0.611
2939,STREME,0.81
2940,DimontHTS,0.608
2941,ExplaiNN,0.921
2942,Dimont,0.743
2943,ChIPMunk,0.631
2944,ProBound,0.574
2945,MEME,0.799
2946,Autoseed,0.842
2947,Homer,0.905
2948,STREME,0.741
2949,DimontHTS,0.708
2950,ExplaiNN,0.812
2951,Dimont,0.686
2952,ChIPMunk,0.928
2953,ProBound,0.743
2954,MEME,0.619
2955,Autoseed,0.838
2956,Homer,0.568
2957,STREME,0.452
2958,DimontHTS,0.466
2959,ExplaiNN,0.611
2960,Dimont,0.907
2961,ChIPMunk,0.645
2962,ProBound,0.856
2963,MEME,0.926
2964,Autoseed,0.812
2965,Homer,0.52
2966,STREME,0.94
2967,DimontHTS,0.532
2968,ExplaiNN,0.898
2969,Dimont,0.597
2970,ChIPMunk,0.498
2971,ProBound,0.736
2972,MEME,0.608
2973,Autoseed,0.521
2974,Homer,0.876
2975,STREME,0.641
2976,DimontHTS,0.611
2977,ExplaiNN,0.553
2978,Dimont,0.472
2979,ChIPMunk,0.899
2980,ProBound,0.773
2981,MEME,0.511
2982,Autoseed,0.606
2983,Homer,0.735
2984,STREME,0.592
2985,DimontHTS,0.964
2986,ExplaiNN,0.408
2987,Dimont,0.929
2988,ChIPMunk,0.771
2989,ProBound,0.816
2990,MEME,0.896
2991,Autoseed,0.949
2992,Homer,0.845
2993,STREME,0.808
2994,DimontHTS,0.749
2995,ExplaiNN,0.982
2996,Dimont,0.793
2997,ChIPMunk,0.864
2998,ProBound,0.444
2999,MEME,0.745
3000,Autoseed,0.743
3001,Homer,0.806
3002,STREME,0.881
3003,DimontHTS,0.707
3004,ExplaiNN,0.868
3005,Dimont,0.889
3006,ChIPMunk,0.826
3007,ProBound,0.485
3008,MEME,0.842
3009,Autoseed,0.875
3010,Homer,0.741
3011,STREME,0.839
3012,DimontHTS,0.707
3013,ExplaiNN,0.749
3014,Dimont,0.826
3015,ChIPMunk,0.769
3016,ProBound,0.459
3017,MEME,0.814
3018,Autoseed,0.587
3019,Homer,0.398
3020,STREME,0.626
3021,DimontHTS,0.717
3022,ExplaiNN,0.806
3023,Dimont,0.767
3024,ChIPMunk,0.46
3025,ProBound,0.88
3026,MEME,0.75
3027,Autoseed,0.703
3028,Homer,0.944
3029,STREME,0.817
3030,DimontHTS,0.819
3031,ExplaiNN,0.742
3032,Dimont,0.455
3033,ChIPMunk,0.952
3034,ProBound,0.576
3035,MEME,0.437
3036,Autoseed,0.356
3037,Homer,0.643
3038,STREME,0.631
3039,DimontHTS,0.646
3040,ExplaiNN,0.416
3041,Dimont,0.947
3042,ChIPMunk,0.631
3043,ProBound,0.888
3044,MEME,0.938
3045,Autoseed,0.385
3046,Homer,0.556
3047,STREME,0.961
3048,DimontHTS,0.731
3049,ExplaiNN,0.924
3050,Dimont,0.602
3051,ChIPMunk,0.585
3052,ProBound,0.871
3053,MEME,0.62
3054,Autoseed,0.53
3055,Homer,0.801
3056,STREME,0.974
3057,DimontHTS,0.723
3058,ExplaiNN,0.637
3059,Dimont,0.575
3060,ChIPMunk,0.824
3061,ProBound,0.699
3062,MEME,0.586
3063,Autoseed,0.971
3064,Homer,0.875
3065,STREME,0.576
3066,DimontHTS,0.883
3067,ExplaiNN,0.53
3068,Dimont,0.758
3069,ChIPMunk,0.886
3070,ProBound,0.521
3071,MEME,0.822
3072,Autoseed,0.71
3073,Homer,0.834
3074,STREME,0.713
3075,DimontHTS,0.765
3076,ExplaiNN,0.599
3077,Dimont,0.86
3078,ChIPMunk,0.84
3079,ProBound,0.614
3080,MEME,0.884
3081,Autoseed,0.672
3082,Homer,0.614
3083,STREME,0.81
3084,DimontHTS,0.844
3085,ExplaiNN,0.573
3086,Dimont,0.843
3087,ChIPMunk,0.597
3088,ProBound,0.881
3089,MEME,0.843
3090,Autoseed,0.892
3091,Homer,0.84
3092,STREME,0.587
3093,DimontHTS,0.838
3094,ExplaiNN,0.781
3095,Dimont,0.586
3096,ChIPMunk,0.899
3097,ProBound,0.694
3098,MEME,0.619
3099,Autoseed,0.636
3100,Homer,0.665
3101,STREME,0.72
3102,DimontHTS,0.782
3103,ExplaiNN,0.574
3104,Dimont,0.898
3105,ChIPMunk,0.703
3106,ProBound,0.832
3107,MEME,0.88
3108,Autoseed,0.688
3109,Homer,0.966
3110,STREME,0.907
3111,DimontHTS,0.69
3112,ExplaiNN,0.79
3113,Dimont,0.746
3114,ChIPMunk,0.961
3115,ProBound,0.533
3116,MEME,0.698
3117,Autoseed,0.677
3118,Homer,0.975
3119,STREME,0.546
3120,DimontHTS,0.785
3121,ExplaiNN,0.658
3122,Dimont,0.977
3123,ChIPMunk,0.977
3124,ProBound,0.597
3125,MEME,0.92
3126,Autoseed,0.936
3127,Homer,0.538
3128,STREME,0.843
3129,DimontHTS,0.683
3130,ExplaiNN,0.974
3131,Dimont,0.984
3132,ChIPMunk,0.593
3133,ProBound,0.406
3134,MEME,0.932
3135,Autoseed,0.839
3136,Homer,0.75
3137,STREME,0.871
3138,DimontHTS,0.606
3139,ExplaiNN,0.98
3140,Dimont,0.553
3141,ChIPMunk,0.836
3142,ProBound,0.458
3143,MEME,0.566
3144,Autoseed,0.888
3145,Homer,0.846
3146,STREME,0.64
3147,DimontHTS,0.632
3148,ExplaiNN,0.549
3149,Dimont,0.801
3150,ChIPMunk,0.933
3151,ProBound,0.632
3152,MEME,0.727
3153,Autoseed,0.882
3154,Homer,0.521
3155,STREME,0.537
3156,DimontHTS,0.624
3157,ExplaiNN,0.799
3158,Dimont,0.922
3159,ChIPMunk,0.636
3160,ProBound,0.74
3161,MEME,0.902
3162,Autoseed,0.861
3163,Homer,0.714
3164,STREME,0.874
3165,DimontHTS,0.588
3166,ExplaiNN,0.886
3167,Dimont,0.564
3168,ChIPMunk,0.738
3169,ProBound,0.631
3170,MEME,0.641
3171,Autoseed,0.757
3172,Homer,0.904
3173,STREME,0.65
3174,DimontHTS,0.578
3175,ExplaiNN,0.514
3176,Dimont,0.783
3177,ChIPMunk,0.926
3178,ProBound,0.928
3179,MEME,0.729
3180,Autoseed,0.888
3181,Homer,0.385
3182,STREME,0.802
3183,DimontHTS,0.705
3184,ExplaiNN,0.705
3185,Dimont,0.956
3186,ChIPMunk,0.442
3187,ProBound,0.658
3188,MEME,0.923
3189,Autoseed,0.803
3190,Homer,0.887
3191,STREME,0.74
3192,DimontHTS,0.718
3193,ExplaiNN,0.876
3194,Dimont,0.927
3195,ChIPMunk,0.91
3196,ProBound,0.928
3197,MEME,0.386
3198,Autoseed,0.842
3199,Homer,0.862
3200,STREME,0.865
3201,DimontHTS,0.711
3202,ExplaiNN,0.549
3203,Dimont,0.914
3204,ChIPMunk,0.905
3205,ProBound,0.733
3206,MEME,0.894
3207,Autoseed,0.652
3208,Homer,0.604
3209,STREME,0.706
3210,DimontHTS,0.712
3211,ExplaiNN,0.831
3212,Dimont,0.586
3213,ChIPMunk,0.743
3214,ProBound,0.692
3215,MEME,0.845
3216,Autoseed,0.68
3217,Homer,0.498
3218,STREME,0.835
3219,DimontHTS,0.732
3220,ExplaiNN,0.859
3221,Dimont,0.507
3222,ChIPMunk,0.665
3223,ProBound,0.732
3224,MEME,0.625
3225,Autoseed,0.676
3226,Homer,0.923
3227,STREME,0.683
3228,DimontHTS,0.544
3229,ExplaiNN,0.691
3230,Dimont,0.92
3231,ChIPMunk,0.941
3232,ProBound,0.746
3233,MEME,0.541
3234,Autoseed,0.674
3235,Homer,0.72
3236,STREME,0.584
3237,DimontHTS,0.558
3238,ExplaiNN,0.651
3239,Dimont,0.677
3240,ChIPMunk,0.698
3241,ProBound,0.809
3242,MEME,0.886
3243,Autoseed,0.769
3244,Homer,0.839
3245,STREME,0.919
3246,ExplaiNN,0.864
3247,Dimont,0.87
3248,ChIPMunk,0.842
3249,ProBound,0.551
3250,MEME,0.676
3251,Autoseed,0.791
3252,Homer,0.779
3253,STREME,0.802
3254,ExplaiNN,0.583
3255,Dimont,0.821
3256,ChIPMunk,0.8
3257,ProBound,0.706
3258,MEME,0.813
3259,Autoseed,0.779
3260,Homer,0.901
3261,STREME,0.838
3262,ExplaiNN,0.81
3263,Dimont,0.911
3264,ChIPMunk,0.934
3265,ProBound,0.682
3266,MEME,0.762
3267,Autoseed,0.796
3268,Homer,0.797
3269,STREME,0.886
3270,ExplaiNN,0.76
3271,Dimont,0.841
3272,ChIPMunk,0.823
3273,ProBound,0.933
3274,MEME,0.908
3275,Autoseed,0.829
3276,Homer,0.84
3277,STREME,0.504
3278,ExplaiNN,0.918
3279,Dimont,0.901
3280,ChIPMunk,0.88
3281,ProBound,0.829
3282,MEME,0.763
3283,Autoseed,0.609
3284,Homer,0.636
3285,STREME,0.94
3286,ExplaiNN,0.678
3287,Dimont,0.696
3288,ChIPMunk,0.722
3289,ProBound,0.901
3290,MEME,0.868
3291,Autoseed,0.564
3292,Homer,0.528
3293,STREME,0.917
3294,ExplaiNN,0.722
3295,Dimont,0.81
3296,ChIPMunk,0.656
3297,ProBound,0.887
3298,MEME,0.68
3299,Homer,0.924
3300,STREME,0.839
3301,ExplaiNN,0.668
3302,Dimont,0.904
3303,ChIPMunk,0.893
3304,ProBound,0.776
3305,MEME,0.596
3306,Homer,0.815
3307,STREME,0.766
3308,ExplaiNN,0.588
3309,Dimont,0.79
3310,ChIPMunk,0.821
3311,ProBound,0.661
3312,MEME,0.927
3313,Homer,0.85
3314,STREME,0.939
3315,ExplaiNN,0.863
3316,Dimont,0.818
3317,ChIPMunk,0.837
3318,ProBound,0.869
3319,MEME,0.826
3320,Homer,0.898
3321,STREME,0.746
3322,ExplaiNN,0.757
3323,Dimont,0.868
3324,ChIPMunk,0.883
3325,ProBound,0.788
3326,MEME,0.859
3327,Homer,0.498
3328,STREME,0.854
3329,ExplaiNN,0.797
3330,Dimont,0.528
3331,ChIPMunk,0.524
3332,ProBound,0.637
3333,MEME,0.904
3334,Homer,0.888
3335,STREME,0.85
3336,ExplaiNN,0.829
3337,Dimont,0.977
3338,ChIPMunk,0.968
3339,ProBound,0.612
3340,MEME,0.477
3341,Homer,0.871
3342,STREME,0.701
3343,ExplaiNN,0.643
3344,Dimont,0.96
3345,ChIPMunk,0.938
3346,ProBound,0.665
3347,MEME,0.942
3348,Homer,0.837
3349,STREME,0.533
3350,ExplaiNN,0.969
3351,Dimont,0.828
3352,ChIPMunk,0.849
3353,ProBound,0.66
3354,MEME,0.917
3355,Homer,0.774
3356,STREME,0.672
3357,ExplaiNN,0.941
3358,Dimont,0.75
3359,ChIPMunk,0.784
3360,ProBound,0.677
3361,MEME,0.86
3362,Homer,0.934
3363,STREME,0.713
3364,ExplaiNN,0.752
3365,Dimont,0.957
3366,ChIPMunk,0.948
3367,ProBound,0.698
3368,MEME,0.795
3369,Homer,0.744
3370,STREME,0.953
3371,ExplaiNN,0.704
3372,Dimont,0.738
3373,ChIPMunk,0.76
3374,ProBound,0.678
3375,MEME,0.945
3376,Homer,0.882
3377,STREME,0.77
3378,ExplaiNN,0.907
3379,Dimont,0.878
3380,ChIPMunk,0.874
3381,ProBound,0.683
3382,MEME,0.757
3383,Homer,0.873
3384,STREME,0.783
3385,ExplaiNN,0.682
3386,Dimont,0.868
3387,ChIPMunk,0.87
3388,ProBound,0.715
3389,MEME,0.872
3390,Homer,0.719
3391,STREME,0.592
3392,ExplaiNN,0.841
3393,Dimont,0.888
3394,ChIPMunk,0.416
3395,ProBound,0.591
3396,MEME,0.868
3397,Homer,0.506
3398,STREME,0.688
3399,ExplaiNN,0.825
3400,Dimont,0.566
3401,ChIPMunk,0.628
3402,ProBound,0.537
3403,MEME,0.918
3404,Homer,0.621
3405,STREME,0.516
3406,ExplaiNN,0.784
3407,Dimont,0.71
3408,ChIPMunk,0.774
3409,MEME,0.53
3410,Homer,0.797
3411,STREME,0.525
3412,ExplaiNN,0.543
3413,Dimont,0.339
3414,ChIPMunk,0.741
3415,MEME,0.647
3416,Homer,0.948
3417,STREME,0.707
3418,ExplaiNN,0.672
3419,Dimont,0.98
3420,ChIPMunk,0.975
3421,MEME,0.762
3422,Homer,0.716
3423,STREME,0.743
3424,ExplaiNN,0.493
3425,Dimont,0.803
3426,ChIPMunk,0.786
3427,MEME,0.952
3428,Homer,0.84
3429,STREME,0.55
3430,ExplaiNN,0.963
3431,Dimont,0.87
3432,ChIPMunk,0.871
3433,MEME,0.767
3434,Homer,0.603
3435,STREME,0.881
3436,ExplaiNN,0.777
3437,Dimont,0.615
3438,ChIPMunk,0.611
3439,MEME,0.842
3440,Homer,0.718
3441,STREME,0.807
3442,ExplaiNN,0.776
3443,Dimont,0.703
3444,ChIPMunk,0.732
3445,MEME,0.614
3446,Homer,0.448
3447,STREME,0.973
3448,ExplaiNN,0.547
3449,Dimont,0.554
3450,ChIPMunk,0.548
3451,MEME,0.693
