,Tool,Delta auROC value
814,ProBound,-0.30100000000000005
815,MEME,-0.30600000000000005
816,Autoseed,-0.07299999999999995
817,Homer,-0.392
818,STREME,-0.383
819,DimontHTS,-0.357
820,ExplaiNN,-0.519
821,Best,-0.10499999999999998
822,Dimont,-0.18100000000000005
823,ChIPMunk,-0.364
824,ProBound,-0.133
825,MEME,-0.5329999999999999
826,Autoseed,-0.21399999999999997
827,Homer,-0.629
828,STREME,-0.608
829,DimontHTS,-0.19299999999999995
830,ExplaiNN,-0.35
831,Best,-0.18000000000000005
832,Dimont,-0.479
833,ChIPMunk,-0.09199999999999997
834,ProBound,-0.28
835,MEME,-0.08899999999999997
836,Autoseed,-0.28400000000000003
837,Homer,-0.40800000000000003
838,STREME,-0.45799999999999996
839,DimontHTS,-0.37
840,ExplaiNN,-0.532
841,Best,-0.16000000000000003
842,Dimont,-0.386
843,ChIPMunk,-0.10199999999999998
844,ProBound,-0.10099999999999998
845,MEME,-0.42800000000000005
846,Autoseed,-0.08899999999999997
847,Homer,-0.33099999999999996
848,STREME,-0.44399999999999995
849,DimontHTS,-0.124
850,ExplaiNN,-0.42200000000000004
851,Best,-0.20499999999999996
852,Dimont,-0.269
853,ChIPMunk,-0.15100000000000002
854,ProBound,-0.23299999999999998
855,MEME,-0.37
856,Autoseed,-0.16100000000000003
857,Homer,-0.344
858,STREME,-0.43100000000000005
859,DimontHTS,-0.26
860,ExplaiNN,-0.31000000000000005
861,Best,-0.09699999999999998
862,Dimont,-0.32999999999999996
863,ChIPMunk,-0.31499999999999995
864,ProBound,-0.32199999999999995
865,MEME,-0.11599999999999999
866,Autoseed,-0.14300000000000002
867,Homer,-0.11099999999999999
868,STREME,-0.15500000000000003
